,updateDate,code,code_name
0,2021-05-31,sh.600000,浦发银行
1,2021-05-31,sh.600004,白云机场
2,2021-05-31,sh.600009,上海机场
3,2021-05-31,sh.600010,包钢股份
4,2021-05-31,sh.600011,华能国际
5,2021-05-31,sh.600015,华夏银行
6,2021-05-31,sh.600016,民生银行
7,2021-05-31,sh.600018,上港集团
8,2021-05-31,sh.600019,宝钢股份
9,2021-05-31,sh.600025,华能水电
10,2021-05-31,sh.600027,华电国际
11,2021-05-31,sh.600028,中国石化
12,2021-05-31,sh.600029,南方航空
13,2021-05-31,sh.600030,中信证券
14,2021-05-31,sh.600031,三一重工
15,2021-05-31,sh.600036,招商银行
16,2021-05-31,sh.600048,保利地产
17,2021-05-31,sh.600050,中国联通
18,2021-05-31,sh.600061,国投资本
19,2021-05-31,sh.600066,宇通客车
20,2021-05-31,sh.600068,葛洲坝
21,2021-05-31,sh.600085,同仁堂
22,2021-05-31,sh.600104,上汽集团
23,2021-05-31,sh.600109,国金证券
24,2021-05-31,sh.600111,北方稀土
25,2021-05-31,sh.600115,东方航空
26,2021-05-31,sh.600118,中国卫星
27,2021-05-31,sh.600150,中国船舶
28,2021-05-31,sh.600161,天坛生物
29,2021-05-31,sh.600176,中国巨石
30,2021-05-31,sh.600177,雅戈尔
31,2021-05-31,sh.600183,生益科技
32,2021-05-31,sh.600196,复星医药
33,2021-05-31,sh.600208,新湖中宝
34,2021-05-31,sh.600233,圆通速递
35,2021-05-31,sh.600271,航天信息
36,2021-05-31,sh.600276,恒瑞医药
37,2021-05-31,sh.600297,广汇汽车
38,2021-05-31,sh.600299,安迪苏
39,2021-05-31,sh.600309,万华化学
40,2021-05-31,sh.600332,白云山
41,2021-05-31,sh.600340,华夏幸福
42,2021-05-31,sh.600346,恒力石化
43,2021-05-31,sh.600352,浙江龙盛
44,2021-05-31,sh.600362,江西铜业
45,2021-05-31,sh.600369,西南证券
46,2021-05-31,sh.600383,金地集团
47,2021-05-31,sh.600390,五矿资本
48,2021-05-31,sh.600406,国电南瑞
49,2021-05-31,sh.600436,片仔癀
50,2021-05-31,sh.600438,通威股份
51,2021-05-31,sh.600482,中国动力
52,2021-05-31,sh.600487,亨通光电
53,2021-05-31,sh.600489,中金黄金
54,2021-05-31,sh.600498,烽火通信
55,2021-05-31,sh.600519,贵州茅台
56,2021-05-31,sh.600522,中天科技
57,2021-05-31,sh.600547,山东黄金
58,2021-05-31,sh.600570,恒生电子
59,2021-05-31,sh.600584,长电科技
60,2021-05-31,sh.600585,海螺水泥
61,2021-05-31,sh.600588,用友网络
62,2021-05-31,sh.600600,青岛啤酒
63,2021-05-31,sh.600606,绿地控股
64,2021-05-31,sh.600637,东方明珠
65,2021-05-31,sh.600655,豫园股份
66,2021-05-31,sh.600660,福耀玻璃
67,2021-05-31,sh.600690,海尔智家
68,2021-05-31,sh.600703,三安光电
69,2021-05-31,sh.600705,中航资本
70,2021-05-31,sh.600741,华域汽车
71,2021-05-31,sh.600745,闻泰科技
72,2021-05-31,sh.600760,中航沈飞
73,2021-05-31,sh.600763,通策医疗
74,2021-05-31,sh.600795,国电电力
75,2021-05-31,sh.600809,山西汾酒
76,2021-05-31,sh.600837,海通证券
77,2021-05-31,sh.600845,宝信软件
78,2021-05-31,sh.600848,上海临港
79,2021-05-31,sh.600872,中炬高新
80,2021-05-31,sh.600886,国投电力
81,2021-05-31,sh.600887,伊利股份
82,2021-05-31,sh.600893,航发动力
83,2021-05-31,sh.600900,长江电力
84,2021-05-31,sh.600918,中泰证券
85,2021-05-31,sh.600919,江苏银行
86,2021-05-31,sh.600926,杭州银行
87,2021-05-31,sh.600958,东方证券
88,2021-05-31,sh.600989,宝丰能源
89,2021-05-31,sh.600998,九州通
90,2021-05-31,sh.600999,招商证券
91,2021-05-31,sh.601006,大秦铁路
92,2021-05-31,sh.601009,南京银行
93,2021-05-31,sh.601012,隆基股份
94,2021-05-31,sh.601021,春秋航空
95,2021-05-31,sh.601066,中信建投
96,2021-05-31,sh.601077,渝农商行
97,2021-05-31,sh.601088,中国神华
98,2021-05-31,sh.601100,恒立液压
99,2021-05-31,sh.601108,财通证券
100,2021-05-31,sh.601111,中国国航
101,2021-05-31,sh.601117,中国化学
102,2021-05-31,sh.601138,工业富联
103,2021-05-31,sh.601155,新城控股
104,2021-05-31,sh.601162,天风证券
105,2021-05-31,sh.601166,兴业银行
106,2021-05-31,sh.601169,北京银行
107,2021-05-31,sh.601186,中国铁建
108,2021-05-31,sh.601198,东兴证券
109,2021-05-31,sh.601211,国泰君安
110,2021-05-31,sh.601216,君正集团
111,2021-05-31,sh.601225,陕西煤业
112,2021-05-31,sh.601229,上海银行
113,2021-05-31,sh.601231,环旭电子
114,2021-05-31,sh.601236,红塔证券
115,2021-05-31,sh.601238,广汽集团
116,2021-05-31,sh.601288,农业银行
117,2021-05-31,sh.601318,中国平安
118,2021-05-31,sh.601319,中国人保
