updateDate,code,code_name
2021-04-26,sh.600000,浦发银行
2021-04-26,sh.600009,上海机场
2021-04-26,sh.600016,民生银行
2021-04-26,sh.600028,中国石化
2021-04-26,sh.600030,中信证券
2021-04-26,sh.600031,三一重工
2021-04-26,sh.600036,招商银行
2021-04-26,sh.600048,保利地产
2021-04-26,sh.600050,中国联通
2021-04-26,sh.600104,上汽集团
2021-04-26,sh.600196,复星医药
2021-04-26,sh.600276,恒瑞医药
2021-04-26,sh.600309,万华化学
2021-04-26,sh.600519,贵州茅台
2021-04-26,sh.600547,山东黄金
2021-04-26,sh.600570,恒生电子
2021-04-26,sh.600585,海螺水泥
2021-04-26,sh.600588,用友网络
2021-04-26,sh.600690,海尔智家
2021-04-26,sh.600703,三安光电
2021-04-26,sh.600745,闻泰科技
2021-04-26,sh.600837,海通证券
2021-04-26,sh.600887,伊利股份
2021-04-26,sh.600918,中泰证券
2021-04-26,sh.601012,隆基股份
2021-04-26,sh.601066,中信建投
2021-04-26,sh.601088,中国神华
2021-04-26,sh.601138,工业富联
2021-04-26,sh.601166,兴业银行
2021-04-26,sh.601186,中国铁建
2021-04-26,sh.601211,国泰君安
2021-04-26,sh.601236,红塔证券
2021-04-26,sh.601288,农业银行
2021-04-26,sh.601318,中国平安
2021-04-26,sh.601319,中国人保
2021-04-26,sh.601336,新华保险
2021-04-26,sh.601398,工商银行
2021-04-26,sh.601601,中国太保
2021-04-26,sh.601628,中国人寿
2021-04-26,sh.601668,中国建筑
2021-04-26,sh.601688,华泰证券
2021-04-26,sh.601816,京沪高铁
2021-04-26,sh.601818,光大银行
2021-04-26,sh.601857,中国石油
2021-04-26,sh.601888,中国中免
2021-04-26,sh.603160,汇顶科技
2021-04-26,sh.603259,药明康德
2021-04-26,sh.603288,海天味业
2021-04-26,sh.603501,韦尔股份
2021-04-26,sh.603986,兆易创新
