date,code,open,high,low,close,preclose,volume,amount,turn,peTTM,psTTM,pcfNcfTTM,pbMRQ,total_share,float_share,free_share,total_mv,circ_mv
2015-01-05,sh.600000,15.8800,16.2500,15.5600,16.0700,15.6900,513568704,8182820864.0000,3.441509,6.530320,2.555270,-9.848905,1.295783,1865347.1415,1492277.7132,1041223.7422,29976128.5639,23980902.8511
2015-01-06,sh.600000,16.0000,16.6800,15.8200,16.1300,16.0700,511684528,8311084800.0000,3.428883,6.398990,2.448213,-9.885678,1.300621,1865347.1415,1492277.7132,1041223.7422,30088049.3924,24070439.5139
2015-01-07,sh.600000,15.9000,16.1700,15.5300,15.8100,16.1300,385716816,6114241024.0000,2.584752,6.272041,2.399643,-9.689558,1.274818,1865347.1415,1492277.7132,1041223.7422,29491138.3071,23592910.6457
2015-01-08,sh.600000,15.8700,15.8800,15.2000,15.2500,15.8100,330627168,5101310720.0000,2.215587,6.049882,2.314647,-9.346348,1.229664,1865347.1415,1492277.7132,1041223.7422,28446543.9079,22757235.1263
2015-01-09,sh.600000,15.2000,16.2500,15.1100,15.4300,15.2500,491999936,7692348672.0000,3.296973,6.121290,2.341967,-9.456665,1.244178,1865347.1415,1492277.7132,1041223.7422,28782306.3933,23025845.1147
2015-01-12,sh.600000,15.5000,15.7100,14.9500,15.2200,15.4300,367787264,5625726976.0000,2.464603,6.037980,2.310093,-9.327961,1.227245,1865347.1415,1492277.7132,1041223.7422,28390583.4936,22712466.7949
2015-01-13,sh.600000,15.1300,15.4100,15.1000,15.1800,15.2200,178404956,2712026688.0000,1.195521,6.022112,2.304022,-9.303446,1.224019,1865347.1415,1492277.7132,1041223.7422,28315969.608,22652775.6864
2015-01-14,sh.600000,15.3100,15.7900,15.3100,15.4900,15.1800,309018848,4812472320.0000,2.070786,6.145093,2.351074,-9.493438,1.249016,1865347.1415,1492277.7132,1041223.7422,28894227.2218,23115381.7775
2015-01-15,sh.600000,15.4900,16.1500,15.3900,16.1200,15.4900,329826848,5216166912.0000,2.210224,6.395023,2.446695,-9.879549,1.299815,1865347.1415,1492277.7132,1041223.7422,30069395.921,24055516.7368
2015-01-16,sh.600000,16.2400,16.7500,16.1600,16.4700,16.1200,480245888,7938757888.0000,3.218207,6.533872,2.499818,-10.094056,1.328037,1865347.1415,1492277.7132,1041223.7422,30722267.4205,24577813.9364
2015-01-19,sh.600000,15.3800,15.7300,14.8200,14.8200,16.4700,623520880,9496942848.0000,4.178317,5.879295,2.249381,-9.082811,1.194991,1865347.1415,1492277.7132,1041223.7422,27644444.637,22115555.7096
2015-01-20,sh.600000,14.8800,15.1700,14.5800,15.0000,14.8200,479215744,7142638848.0000,3.211304,5.950703,2.276702,-9.193129,1.209505,1865347.1415,1492277.7132,1041223.7422,27980207.1225,22384165.698
2015-01-21,sh.600000,15.1000,15.8700,14.8100,15.7400,15.0000,487540368,7489943296.0000,3.267089,6.244271,2.389019,-9.646657,1.269174,1865347.1415,1492277.7132,1041223.7422,29360564.0072,23488451.2058
2015-01-22,sh.600000,15.7300,15.7600,15.3500,15.6300,15.7400,294738256,4592023040.0000,1.975090,6.200633,2.372323,-9.579240,1.260304,1865347.1415,1492277.7132,1041223.7422,29155375.8216,23324300.6573
2015-01-23,sh.600000,15.7400,16.0400,15.5400,15.6300,15.6300,320042992,5044685824.0000,2.144661,6.200633,2.372323,-9.579240,1.260304,1865347.1415,1492277.7132,1041223.7422,29155375.8216,23324300.6573
2015-01-26,sh.600000,15.5600,15.5900,15.1300,15.4300,15.6300,268566928,4122351616.0000,1.799711,6.121290,2.341967,-9.456665,1.244178,1865347.1415,1492277.7132,1041223.7422,28782306.3933,23025845.1147
2015-01-27,sh.600000,15.4400,15.4400,14.7500,15.0100,15.4300,351914016,5286301696.0000,2.358234,5.954670,2.278219,-9.199258,1.210311,1865347.1415,1492277.7132,1041223.7422,27998860.5939,22399088.4751
2015-01-28,sh.600000,14.8200,15.1100,14.6600,14.8100,15.0100,242203054,3592645040.0000,1.623043,5.875328,2.247863,-9.076683,1.194185,1865347.1415,1492277.7132,1041223.7422,27625791.1656,22100632.9325
2015-01-29,sh.600000,14.5800,14.6800,14.3200,14.4200,14.8100,266968083,3864614160.0000,1.788997,5.720609,2.188669,-8.837661,1.162738,1865347.1415,1492277.7132,1041223.7422,26898305.7804,21518644.6243
2015-01-30,sh.600000,14.5800,14.6900,14.3600,14.4700,14.4200,207865327,3021747776.0000,1.392940,5.740445,2.196258,-8.868305,1.166769,1865347.1415,1492277.7132,1041223.7422,26991573.1375,21593258.51
2015-02-02,sh.600000,14.0600,14.2600,13.9900,14.0400,14.4700,211617677,2989272544.0000,1.418085,5.569858,2.130993,-8.604769,1.132097,1865347.1415,1492277.7132,1041223.7422,26189473.8667,20951579.0933
2015-02-03,sh.600000,14.2100,14.4600,14.0200,14.4500,14.0400,196263569,2792706736.0000,1.315195,5.732511,2.193223,-8.856048,1.165157,1865347.1415,1492277.7132,1041223.7422,26954266.1947,21563412.9557
